img_path,mask_path,record_id,folder,has_contrail
../output/goes16_pl/images/121_00_20231210000203.png,../output/goes16_pl/masks/121_00_20231210000203.npy,121_00_20231210000203,,True
../output/goes16_pl/images/121_00_20231210010203.png,../output/goes16_pl/masks/121_00_20231210010203.npy,121_00_20231210010203,,True
../output/goes16_pl/images/121_00_20231210020203.png,../output/goes16_pl/masks/121_00_20231210020203.npy,121_00_20231210020203,,True
../output/goes16_pl/images/121_00_20231210030203.png,../output/goes16_pl/masks/121_00_20231210030203.npy,121_00_20231210030203,,True
../output/goes16_pl/images/121_00_20231210040203.png,../output/goes16_pl/masks/121_00_20231210040203.npy,121_00_20231210040203,,True
../output/goes16_pl/images/121_00_20231210050203.png,../output/goes16_pl/masks/121_00_20231210050203.npy,121_00_20231210050203,,True
../output/goes16_pl/images/121_01_20231210100203.png,../output/goes16_pl/masks/121_01_20231210100203.npy,121_01_20231210100203,,True
../output/goes16_pl/images/121_01_20231210110203.png,../output/goes16_pl/masks/121_01_20231210110203.npy,121_01_20231210110203,,True
../output/goes16_pl/images/121_01_20231210120203.png,../output/goes16_pl/masks/121_01_20231210120203.npy,121_01_20231210120203,,True
../output/goes16_pl/images/121_01_20231210130203.png,../output/goes16_pl/masks/121_01_20231210130203.npy,121_01_20231210130203,,True
../output/goes16_pl/images/121_01_20231210140203.png,../output/goes16_pl/masks/121_01_20231210140203.npy,121_01_20231210140203,,True
../output/goes16_pl/images/121_01_20231210150203.png,../output/goes16_pl/masks/121_01_20231210150203.npy,121_01_20231210150203,,True
../output/goes16_pl/images/121_02_20231210200203.png,../output/goes16_pl/masks/121_02_20231210200203.npy,121_02_20231210200203,,True
../output/goes16_pl/images/121_02_20231210210203.png,../output/goes16_pl/masks/121_02_20231210210203.npy,121_02_20231210210203,,True
../output/goes16_pl/images/121_02_20231210220203.png,../output/goes16_pl/masks/121_02_20231210220203.npy,121_02_20231210220203,,True
../output/goes16_pl/images/121_02_20231210230203.png,../output/goes16_pl/masks/121_02_20231210230203.npy,121_02_20231210230203,,True
../output/goes16_pl/images/121_02_20231210240203.png,../output/goes16_pl/masks/121_02_20231210240203.npy,121_02_20231210240203,,True
../output/goes16_pl/images/121_02_20231210250203.png,../output/goes16_pl/masks/121_02_20231210250203.npy,121_02_20231210250203,,True
../output/goes16_pl/images/121_03_20231210300203.png,../output/goes16_pl/masks/121_03_20231210300203.npy,121_03_20231210300203,,True
../output/goes16_pl/images/121_03_20231210310203.png,../output/goes16_pl/masks/121_03_20231210310203.npy,121_03_20231210310203,,True
../output/goes16_pl/images/121_03_20231210320203.png,../output/goes16_pl/masks/121_03_20231210320203.npy,121_03_20231210320203,,True
../output/goes16_pl/images/121_03_20231210330203.png,../output/goes16_pl/masks/121_03_20231210330203.npy,121_03_20231210330203,,True
../output/goes16_pl/images/121_03_20231210340203.png,../output/goes16_pl/masks/121_03_20231210340203.npy,121_03_20231210340203,,True
../output/goes16_pl/images/121_03_20231210350203.png,../output/goes16_pl/masks/121_03_20231210350203.npy,121_03_20231210350203,,True
../output/goes16_pl/images/121_04_20231210400203.png,../output/goes16_pl/masks/121_04_20231210400203.npy,121_04_20231210400203,,True
../output/goes16_pl/images/121_04_20231210410203.png,../output/goes16_pl/masks/121_04_20231210410203.npy,121_04_20231210410203,,True
../output/goes16_pl/images/121_04_20231210420203.png,../output/goes16_pl/masks/121_04_20231210420203.npy,121_04_20231210420203,,True
../output/goes16_pl/images/121_04_20231210430203.png,../output/goes16_pl/masks/121_04_20231210430203.npy,121_04_20231210430203,,True
../output/goes16_pl/images/121_04_20231210440203.png,../output/goes16_pl/masks/121_04_20231210440203.npy,121_04_20231210440203,,True
../output/goes16_pl/images/121_04_20231210450203.png,../output/goes16_pl/masks/121_04_20231210450203.npy,121_04_20231210450203,,True
../output/goes16_pl/images/121_05_20231210500205.png,../output/goes16_pl/masks/121_05_20231210500205.npy,121_05_20231210500205,,True
../output/goes16_pl/images/121_05_20231210510205.png,../output/goes16_pl/masks/121_05_20231210510205.npy,121_05_20231210510205,,True
../output/goes16_pl/images/121_05_20231210520205.png,../output/goes16_pl/masks/121_05_20231210520205.npy,121_05_20231210520205,,True
../output/goes16_pl/images/121_05_20231210530205.png,../output/goes16_pl/masks/121_05_20231210530205.npy,121_05_20231210530205,,True
../output/goes16_pl/images/121_05_20231210540205.png,../output/goes16_pl/masks/121_05_20231210540205.npy,121_05_20231210540205,,True
../output/goes16_pl/images/121_05_20231210550205.png,../output/goes16_pl/masks/121_05_20231210550205.npy,121_05_20231210550205,,True
../output/goes16_pl/images/121_06_20231210600205.png,../output/goes16_pl/masks/121_06_20231210600205.npy,121_06_20231210600205,,True
../output/goes16_pl/images/121_06_20231210610205.png,../output/goes16_pl/masks/121_06_20231210610205.npy,121_06_20231210610205,,True
../output/goes16_pl/images/121_06_20231210620205.png,../output/goes16_pl/masks/121_06_20231210620205.npy,121_06_20231210620205,,True
../output/goes16_pl/images/121_06_20231210630205.png,../output/goes16_pl/masks/121_06_20231210630205.npy,121_06_20231210630205,,True
../output/goes16_pl/images/121_06_20231210640205.png,../output/goes16_pl/masks/121_06_20231210640205.npy,121_06_20231210640205,,True
../output/goes16_pl/images/121_06_20231210650205.png,../output/goes16_pl/masks/121_06_20231210650205.npy,121_06_20231210650205,,True
../output/goes16_pl/images/121_07_20231210700205.png,../output/goes16_pl/masks/121_07_20231210700205.npy,121_07_20231210700205,,True
../output/goes16_pl/images/121_07_20231210710205.png,../output/goes16_pl/masks/121_07_20231210710205.npy,121_07_20231210710205,,True
../output/goes16_pl/images/121_07_20231210720205.png,../output/goes16_pl/masks/121_07_20231210720205.npy,121_07_20231210720205,,True
../output/goes16_pl/images/121_07_20231210730205.png,../output/goes16_pl/masks/121_07_20231210730205.npy,121_07_20231210730205,,True
../output/goes16_pl/images/121_07_20231210740205.png,../output/goes16_pl/masks/121_07_20231210740205.npy,121_07_20231210740205,,True
../output/goes16_pl/images/121_07_20231210750205.png,../output/goes16_pl/masks/121_07_20231210750205.npy,121_07_20231210750205,,True
../output/goes16_pl/images/121_08_20231210800205.png,../output/goes16_pl/masks/121_08_20231210800205.npy,121_08_20231210800205,,True
../output/goes16_pl/images/121_08_20231210810205.png,../output/goes16_pl/masks/121_08_20231210810205.npy,121_08_20231210810205,,True
../output/goes16_pl/images/121_08_20231210820205.png,../output/goes16_pl/masks/121_08_20231210820205.npy,121_08_20231210820205,,True
../output/goes16_pl/images/121_08_20231210830205.png,../output/goes16_pl/masks/121_08_20231210830205.npy,121_08_20231210830205,,True
../output/goes16_pl/images/121_08_20231210840205.png,../output/goes16_pl/masks/121_08_20231210840205.npy,121_08_20231210840205,,True
../output/goes16_pl/images/121_08_20231210850205.png,../output/goes16_pl/masks/121_08_20231210850205.npy,121_08_20231210850205,,True
../output/goes16_pl/images/121_09_20231210900205.png,../output/goes16_pl/masks/121_09_20231210900205.npy,121_09_20231210900205,,True
../output/goes16_pl/images/121_09_20231210910205.png,../output/goes16_pl/masks/121_09_20231210910205.npy,121_09_20231210910205,,True
../output/goes16_pl/images/121_09_20231210920205.png,../output/goes16_pl/masks/121_09_20231210920205.npy,121_09_20231210920205,,True
../output/goes16_pl/images/121_09_20231210930205.png,../output/goes16_pl/masks/121_09_20231210930205.npy,121_09_20231210930205,,True
../output/goes16_pl/images/121_09_20231210940205.png,../output/goes16_pl/masks/121_09_20231210940205.npy,121_09_20231210940205,,True
../output/goes16_pl/images/121_09_20231210950205.png,../output/goes16_pl/masks/121_09_20231210950205.npy,121_09_20231210950205,,True
../output/goes16_pl/images/121_10_20231211000205.png,../output/goes16_pl/masks/121_10_20231211000205.npy,121_10_20231211000205,,True
../output/goes16_pl/images/121_10_20231211010205.png,../output/goes16_pl/masks/121_10_20231211010205.npy,121_10_20231211010205,,True
../output/goes16_pl/images/121_10_20231211020205.png,../output/goes16_pl/masks/121_10_20231211020205.npy,121_10_20231211020205,,True
../output/goes16_pl/images/121_10_20231211030205.png,../output/goes16_pl/masks/121_10_20231211030205.npy,121_10_20231211030205,,True
../output/goes16_pl/images/121_10_20231211040205.png,../output/goes16_pl/masks/121_10_20231211040205.npy,121_10_20231211040205,,True
../output/goes16_pl/images/121_10_20231211050205.png,../output/goes16_pl/masks/121_10_20231211050205.npy,121_10_20231211050205,,True
../output/goes16_pl/images/121_11_20231211100205.png,../output/goes16_pl/masks/121_11_20231211100205.npy,121_11_20231211100205,,True
../output/goes16_pl/images/121_11_20231211110205.png,../output/goes16_pl/masks/121_11_20231211110205.npy,121_11_20231211110205,,True
../output/goes16_pl/images/121_11_20231211120205.png,../output/goes16_pl/masks/121_11_20231211120205.npy,121_11_20231211120205,,True
../output/goes16_pl/images/121_11_20231211130205.png,../output/goes16_pl/masks/121_11_20231211130205.npy,121_11_20231211130205,,True
../output/goes16_pl/images/121_11_20231211140205.png,../output/goes16_pl/masks/121_11_20231211140205.npy,121_11_20231211140205,,True
../output/goes16_pl/images/121_11_20231211150205.png,../output/goes16_pl/masks/121_11_20231211150205.npy,121_11_20231211150205,,True
../output/goes16_pl/images/121_12_20231211200205.png,../output/goes16_pl/masks/121_12_20231211200205.npy,121_12_20231211200205,,True
../output/goes16_pl/images/121_12_20231211210205.png,../output/goes16_pl/masks/121_12_20231211210205.npy,121_12_20231211210205,,True
../output/goes16_pl/images/121_12_20231211220205.png,../output/goes16_pl/masks/121_12_20231211220205.npy,121_12_20231211220205,,True
../output/goes16_pl/images/121_12_20231211230205.png,../output/goes16_pl/masks/121_12_20231211230205.npy,121_12_20231211230205,,True
../output/goes16_pl/images/121_12_20231211240205.png,../output/goes16_pl/masks/121_12_20231211240205.npy,121_12_20231211240205,,True
../output/goes16_pl/images/121_12_20231211250205.png,../output/goes16_pl/masks/121_12_20231211250205.npy,121_12_20231211250205,,True
../output/goes16_pl/images/121_13_20231211300205.png,../output/goes16_pl/masks/121_13_20231211300205.npy,121_13_20231211300205,,True
../output/goes16_pl/images/121_13_20231211310205.png,../output/goes16_pl/masks/121_13_20231211310205.npy,121_13_20231211310205,,True
../output/goes16_pl/images/121_13_20231211320205.png,../output/goes16_pl/masks/121_13_20231211320205.npy,121_13_20231211320205,,True
